year,health_exp_pct_gdp,education_exp,public_health_exp,wages_exp,pensions_exp,sickness_disability_exp,unemployment_exp,family_children_exp,gdp,gdp_per_capita,gdpv,cpi,total_population,alcohol_consume,fruit_supply,obese_pop_measured,overweight_pop_measured,sugar_supply,tobacco_consumption,total_calories_supply,total_fat_supply,total_protein_supply,vape_pop_15_over,veggie_supply,Life Expectancy
1990.0,6.467,21609000000.0,9933000000.0,46697000000.0,56616666666.666664,5227432.6,3345603.0,6848333333.333333,413659000000.0,17838.1,862510000000.0,0.494619027,17065128.0,10.6,90.4,21.3,37.63333333333333,49.9,1972.0,3174.0,128.6,110.0,2.6666666666666665,86.7,76.9
1991.0,6.762,21609000000.0,9933000000.0,46697000000.0,56616666666.666664,5227432.6,3345603.0,6848333333.333333,416664000000.0,18177.5,851046000000.0,0.510977185,17284036.0,10.1,83.4,21.3,37.63333333333333,48.4,1969.0,3121.0,128.2,106.4,2.6666666666666665,86.1,77.3
1992.0,6.828,21609000000.0,9933000000.0,46697000000.0,56616666666.666664,5227432.6,3345603.0,6848333333.333333,432310000000.0,19157.7,876739000000.0,0.51592768,17478635.0,9.9,87.7,21.3,37.63333333333333,50.7,1767.0,3125.0,131.7,104.3,2.6666666666666665,82.9,77.4
1993.0,6.844,21609000000.0,9933000000.0,46697000000.0,56616666666.666664,5227432.6,3345603.0,6848333333.333333,455201000000.0,20184.9,912643000000.0,0.524967714,17634808.0,10.2,94.7,18.900000000000002,37.9,45.9,1703.0,3042.0,129.4,103.0,2.6666666666666665,78.9,77.9
1994.0,6.872,25613666666.666668,13980666666.666666,54167333333.333336,62870000000.0,5227432.6,3345603.0,7525000000.0,482668000000.0,21432.8,955986000000.0,0.535083943,17805468.0,10.0,90.6,18.900000000000002,37.9,44.6,1668.0,3054.0,127.6,105.5,2.6666666666666665,87.9,77.9
1995.0,6.917,25613666666.666668,13980666666.666666,54167333333.333336,62870000000.0,5227432.6,3345603.0,7525000000.0,512049000000.0,22442.3,985935000000.0,0.559836418,18004882.0,9.8,84.7,19.8,39.4,48.1,1488.0,3099.0,125.4,107.8,2.6666666666666665,85.9,77.8
1996.0,7.057,27699000000.0,21511666666.666668,59184666666.666664,51986000000.0,5227432.6,3345603.0,12469333333.333334,543132000000.0,23289.5,1025080000000.0,0.574687904,18224767.0,10.0,82.1,15.933333333333332,36.800000000000004,45.2,1484.0,3077.0,124.9,105.7,2.6666666666666665,92.0,78.1
1997.0,7.075,30835333333.333332,24641000000.0,61414333333.333336,55352666666.666664,5227432.6,3345603.0,13069333333.333334,573449000000.0,24477.4,1067860000000.0,0.575979337,18423037.0,10.2,90.3,15.933333333333332,36.800000000000004,49.0,1436.0,3096.0,127.1,104.0,2.566666666666667,89.6,78.4
1998.0,7.229,28052000000.0,32521000000.0,62108000000.0,23408000000.0,21220000000.0,4195000000.0,21640000000.0,605089000000.0,25708.3,1120800000000.0,0.580929832,18607584.0,10.0,86.6,15.933333333333332,36.800000000000004,48.1,1374.0,3015.0,124.8,101.3,2.566666666666667,90.4,78.6
1999.0,7.32,29713000000.0,35162000000.0,64705000000.0,24615000000.0,23400000000.0,4484000000.0,24330000000.0,637732000000.0,27139.3,1166670000000.0,0.589108911,18812264.0,10.0,87.8,14.299999999999999,36.333333333333336,43.9,1482.0,3014.0,130.5,101.3,2.6333333333333333,89.4,78.9
