"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1961","1961",111.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1962","1962",111.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1963","1963",112.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1964","1964",110.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1965","1965",110.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1966","1966",110.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1967","1967",109.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1968","1968",110.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1969","1969",112.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1970","1970",113.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1971","1971",114.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1972","1972",120,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1973","1973",115.5,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1974","1974",108.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1975","1975",113,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1976","1976",111.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1977","1977",109.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1978","1978",110.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1979","1979",110.8,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1980","1980",112.2,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1981","1981",112.9,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1982","1982",116.3,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1983","1983",113.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1984","1984",113.1,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1985","1985",117.7,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1986","1986",120.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1987","1987",123.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1988","1988",123,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1989","1989",126.4,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1990","1990",128.6,,
"FOODTFAT","Total fat supply","PROPERQT","Grams per capita per day","AUS","Australia","1991","1991",128.2,,
