iso3,year,expitem1,expitem10,expitem11,expitem2,expitem3,expitem4,expitem5,expitem6,expitem7,expitem8,expitem9,revitem1,revitem10,revitem2,revitem3,revitem4,revitem5,revitem6,revitem7,revitem8,revitem9,gdp,gdpv,cpi,exch,gap,nlgq,nlgqa,ypg,ypga,yrg,yrga,ggflm
AUS,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1959,,,,,,,,,,,,,,,,,,,,274000000,,,,,,,,,,,,,
AUS,1960,,,298000000,,,,,,,67000000,676000000,,258000000,0,,,,,,288000000,,17317000000,2.85468E+11,0.065901957,1.118574182,,,,3321918300,,3743918300,,
AUS,1961,,,318000000,,,,,,,100000000,716000000,,181000000,0,,,,,,303000000,,17477000000,2.8556E+11,0.067409518,1.116486789,,,,3612608407,,3676608407,,
AUS,1962,,,344000000,,,,,,,103000000,714000000,,287000000,0,,,,,,330000000,,18555000000,3.01169E+11,0.067194152,1.120832899,,,,3842159107,,4008159107,,
AUS,1963,,,367000000,,,,,,,109000000,820000000,,305000000,0,,,,,,378000000,,20254000000,3.19677E+11,0.067624884,1.122833722,,,,4103175587,,4367175587,,
AUS,1964,,,402000000,,,,,,,133000000,953000000,,316000000,0,,,,,,410000000,,22242000000,3.39494E+11,0.069563177,1.116784101,,,,4626526836,,4934526836,,
AUS,1965,,,421000000,,,,,,,141000000,1160000000,1688000000,384000000,0,798500000,,,332900000,229400000,466000000,,23912000000,3.56524E+11,0.071932201,1.119631947,,,,5130668553,,5585668553,,
AUS,1966,,,443000000,,,,,,,179000000,1379000000,1842000000,370000000,0,773900000,,,357700000,254100000,507000000,,25585000000,3.66971E+11,0.074301226,1.112915493,,,,5655213385,,5903213385,,
AUS,1967,,,469000000,,,,,,,212000000,1500000000,2112000000,413000000,0,835200000,,,392300000,303000000,537000000,,28321000000,3.93364E+11,0.076885616,1.112504126,,,,6253370844,,6564370844,,
AUS,1968,,,514000000,,,,,,,235000000,1635000000,2324000000,475000000,0,1017000000,,,420500000,370600000,622000000,,30898000000,4.14358E+11,0.078823909,1.112512745,,,,6861726679,,7416726679,,
AUS,1969,,,563000000,,,,,,,274000000,1651000000,2776000000,510000000,0,1164000000,,,448200000,428800000,690000000,,34721000000,4.4011E+11,0.0814083,1.111006903,-1.510672551,,,7653850571,8004995565,8406850571,8790657614,
AUS,1970,,,590000000,,,,,,,318000000,1673000000,3118000000,591000000,0,1418000000,,,494900000,422300000,749000000,,38605000000,4.70726E+11,0.084208056,1.113648807,1.228474188,,,8593227280,8611570884,9483227280,9321563715,
AUS,1971,,,633000000,,,,,,,422000000,1853000000,3608000000,636000000,0,1471000000,,,537600000,407300000,854000000,,42671000000,4.89013E+11,0.089376837,1.136088963,0.694873919,,,9725018340,9737158719,10401018340,10300786340,
AUS,1972,,,690000000,,,,,,,447000000,2020000000,4127000000,735000000,0,1651000000,,,622500000,545700000,945000000,,46780000000,5.00154E+11,0.094760984,1.192328932,-0.823158971,,,11242838610,11226126586,11983838610,12126198983,
AUS,1973,,,713000000,,,,,,,570000000,2198000000,5176000000,752000000,0,1919000000,,,662500000,598300000,1092000000,,55241000000,5.21963E+11,0.103375618,1.426361717,0.108797291,,,13053031825,13055689138,13986031825,13960821408,
AUS,1974,,,909000000,,,,,,,716000000,2862000000,7407000000,910000000,0,2351000000,,,861900000,563100000,1264000000,,65973000000,5.30387E+11,0.119312693,1.446686136,-1.343899214,,,16844865230,16802058216,18016865230,18401016639,
AUS,1975,,,1122000000,,,,,,,811000000,3926000000,8548000000,1099000000,0,2429000000,,,1032000000,702400000,1557000000,,77012000000,5.43529E+11,0.137403426,1.317407022,-1.728036735,,,22186528988,22114668067,21039528988,21608082548,
AUS,1976,,,1348000000,,,,,,,947000000,4034000000,11070000000,1461000000,0,2927000000,,,1287000000,868800000,1853000000,,90441000000,5.64385E+11,0.155709525,1.226983459,-0.465742429,,,26566440181,26544044600,26527440181,26709924509,
AUS,1977,,,1736000000,,,,,,,1116000000,4424000000,12560000000,1794000000,0,3335000000,,,1441000000,929600000,1946000000,,1.00677E+11,5.72751E+11,0.174877088,1.11078292,-1.34956287,,,30691448969,30616205237,29923448969,30534116707,
AUS,1978,,,2095000000,,,,,,,1486000000,4549000000,12880000000,2079000000,0,3179000000,,,1518000000,943600000,2049000000,,1.11097E+11,5.84314E+11,0.18887587,1.146092739,-1.729853591,,,34574550987,34467514374,31929550987,32743895465,
AUS,1979,,,2376000000,,,,,,,1678000000,4752000000,15090000000,2314000000,0,3552000000,,,1672000000,1058000000,2304000000,,1.27505E+11,6.11113E+11,0.206105139,1.117929368,0.263050573,,,37940325595,37958006372,36798325595,36665994042,
AUS,1980,,,2788000000,,,,,,,1990000000,5032000000,17410000000,2567000000,0,4818000000,,,1873000000,1211000000,2623000000,,1.43846E+11,6.27712E+11,0.226995629,1.140824509,0.454756919,,,43620164247,43656056432,42923164247,42635756065,
AUS,1981,,,3165000000,,,,,,,2445000000,5314000000,20790000000,2788000000,0,5148000000,,,2074000000,1229000000,3049000000,,1.64647E+11,6.53962E+11,0.248532216,1.150213929,2.002139694,,,49944876982,50122508983,48788876982,47398541673,
AUS,1982,,,3925000000,,,,,,,2877000000,6056000000,23420000000,3445000000,0,5239000000,,,2515000000,1239000000,4265000000,,1.8388E+11,6.51557E+11,0.276745145,1.016911057,-1.112861734,,,58721716681,58598020359,56529716681,57496609150,
AUS,1983,,,4811000000,,,,,,,3411000000,7178000000,24170000000,4143000000,0,4879000000,,,2642000000,1681000000,4768000000,,1.99105E+11,6.50403E+11,0.304527343,0.902443106,-4.019525066,,,68393291702,67901669985,60961291702,64547039295,
AUS,1984,,,6349000000,,,,,,,3586000000,8662000000,29280000000,5124000000,0,6085000000,,,3035000000,2025000000,5387000000,,2.2487E+11,6.93278E+11,0.316587832,0.878374895,-0.692601551,,,76738864750,76646228813,72812864750,73525618693,
AUS,1985,,,8231000000,,,,,,,4114000000,9941000000,33500000000,6634000000,0,6933000000,,,3449000000,2351000000,6064000000,,2.49735E+11,7.28193E+11,0.337909053,0.699681703,0.886400077,,,86641756033,86773040377,83961756033,82939229200,
AUS,1986,,,9489000000,,,,,,,4673000000,11648000000,38310000000,7903000000,0,7493000000,,,3744000000,2891000000,6613000000,,2.71722E+11,7.41058E+11,0.368626456,0.670640029,-0.959254436,,,96103375336,95942242129,93249375336,94540377800,
AUS,1987,,,9925000000,,,,,,,4626000000,11623000000,42870000000,7978000000,0,9800000000,,,4231000000,4474000000,8083000000,,3.05635E+11,7.80659E+11,0.399913904,0.700335542,0.562769868,,,1.02671E+11,1.02771E+11,1.06695E+11,1.05833E+11,
AUS,1988,,,10971000000,,,,,,,4725000000,10775000000,48610000000,7165000000,0,11380000000,,,4695000000,5641000000,9510000000,,3.45693E+11,8.15306E+11,0.428755919,0.783347562,1.22470436,,1.24199971,1.12238E+11,1.12472E+11,1.18232E+11,1.16221E+11,
AUS,1989,,,11404000000,,,,,,,4722000000,12460000000,51210000000,6405000000,0,14760000000,,,5509000000,4748000000,11060000000,,3.88912E+11,8.50541E+11,0.461256995,0.791854639,1.952364181,0.391091042,-0.61975107,1.2235E+11,1.22758E+11,1.28089E+11,1.24612E+11,
AUS,1990,,,10972000000,,,,,,,5242000000,12972000000,52756748421,7571000000,0,17367089089,,,6478935905,4509330959,11160000000,,4.13659E+11,8.6251E+11,0.494619027,0.780495862,0.305981751,-0.514916876,-0.660430038,1.33936E+11,1.34003E+11,1.3631E+11,1.35784E+11,
AUS,1991,,,9603000000,,,,,,,5941000000,14101000000,50595105506,8647000000,0,17533802419,,,7058249504,4839109066,56190000000,,4.16664E+11,8.51046E+11,0.510977185,0.778827734,-3.488287618,-2.974099034,-1.059967823,1.43514E+11,1.42611E+11,1.36754E+11,1.43667E+11,
AUS,1992,,,12656000000,,,,,,,6080000000,14275000000,50406337429,9839000000,0,17726214522,,,7097273398,5197808865,58170000000,,4.3231E+11,8.76739E+11,0.51592768,0.734829576,-3.030506905,-4.542573616,-2.858730869,1.5515E+11,1.54319E+11,1.40866E+11,1.46928E+11,
AUS,1993,,,9265000000,,,,,,,6732000000,14893000000,53960506002,12488000000,0,16643136450,,,7065730623,6331273441,63970000000,,4.55201E+11,9.12643E+11,0.524967714,0.679083832,-1.76784342,-3.024597925,-2.06919105,1.60705E+11,1.60192E+11,1.51514E+11,1.55181E+11,
AUS,1994,,,12071000000,,,,,,,6489000000,16282000000,57562668636,9541000000,0,20291011902,12201000000,30037260925,7105383679,6206674859,66310000000,3187000000,4.82668E+11,9.55986E+11,0.535083943,0.730837295,-0.347237794,-2.69149809,-2.502442921,1.69871E+11,1.69766E+11,1.61958E+11,1.62724E+11,
AUS,1995,,,13226000000,,,,,,,6328000000,14931000000,62538906936,11106000000,0,22716559823,15230000000,29452883922,7196896752,6352752568,62870000000,5906000000,5.12049E+11,9.85935E+11,0.559836418,0.741084279,-0.856024722,-1.748074891,-1.280598884,1.78816E+11,1.78543E+11,1.73214E+11,1.75279E+11,
AUS,1996,,,12087000000,,,,,,,6942000000,15523000000,69005342200,13088000000,0,25151061461,15563000000,31181513244,7684728428,7346354666,61620000000,4483000000,5.43132E+11,1.02508E+12,0.574687904,0.78347027,-0.755879051,-0.76445505,-0.347422603,1.87129E+11,1.86876E+11,1.86853E+11,1.88851E+11,
AUS,1997,,,9986000000,,,,,,,6705000000,17268000000,75387858377,12020000000,0,26184771527,17796900000,31657543616,8242584781,8271341699,60550000000,5773000000,5.73449E+11,1.06786E+12,0.575979337,0.743403069,-0.581271301,0.372657377,0.690870894,1.93375E+11,1.93171E+11,1.99611E+11,2.01255E+11,
AUS,1998,28052000000,-896525751.7,8594000000,32521000000,62108000000,23408000000,21220000000,4195000000,21640000000,7413000000,17374000000,84358704694,13697000000,0,27624842570,19296700000,32701534300,8362806497,8735411939,20739000000,4629474248,6.05089E+11,1.1208E+12,0.580929832,0.62897063,0.385672846,2.215376581,2.00652268,2.02113E+11,2.02257E+11,2.19239E+11,2.18073E+11,
AUS,1999,29713000000,-2199437876,7914000000,35162000000,64705000000,24615000000,23400000000,4484000000,24330000000,7629000000,18065000000,88689304697,16552000000,0,31150121407,19198300000,33432846198,8564230769,9825196928,21190000000,6316562124,6.37732E+11,1.16667E+12,0.589108911,0.645376986,0.641348555,2.95327818,2.611522347,2.13429E+11,2.13678E+11,2.34144E+11,2.32107E+11,
AUS,2000,31779000000,4044875650,7717000000,37392000000,68747000000,27994000000,24660000000,5156000000,28000000000,7464000000,21104000000,82184175036,10966000000,0,44075907531,18207900000,44580683901,9200576793,9901756738,22969000000,5644875650,6.87197E+11,1.2062E+12,0.615368059,0.581343827,0.508781498,0.946890048,0.658337689,2.32813E+11,2.33026E+11,2.46973E+11,2.4518E+11,
AUS,2001,34196000000,5528103056,6193000000,41029000000,72216000000,29164000000,26880000000,5341000000,31220000000,9377000000,21901000000,90854701485,14906000000,0,33165646171,19304000000,47911938739,9628996895,9786716709,24201000000,5272103056,7.30429E+11,1.23923E+12,0.642488162,0.516804347,-0.062962434,-0.106238936,-0.068577194,2.48315E+11,2.48286E+11,2.54292E+11,2.54538E+11,
AUS,2002,36438000000,5920404856,5899000000,44352000000,75413000000,29973000000,28460000000,5457000000,31480000000,9970000000,23058000000,96990986911,14568000000,0,40776750749,19772400000,55068570391,10698321282,11313970667,25488000000,7278404856,7.82561E+11,1.28901E+12,0.662074903,0.543526486,0.768267983,1.745295255,1.324736825,2.59359E+11,2.59726E+11,2.8081E+11,2.77807E+11,
