"HF","Financing scheme","HC","Function","HP","Provider","MEASURE","Measure","LOCATION","Country","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1971","1971","PC","Percentage","0","Units",,,4.541,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1972","1972","PC","Percentage","0","Units",,,4.54,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1973","1973","PC","Percentage","0","Units",,,4.504,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1974","1974","PC","Percentage","0","Units",,,5.105,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1975","1975","PC","Percentage","0","Units",,,5.752,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1976","1976","PC","Percentage","0","Units",,,5.769,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1977","1977","PC","Percentage","0","Units",,,6.068,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1978","1978","PC","Percentage","0","Units",,,5.93,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1979","1979","PC","Percentage","0","Units",,,5.82,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1980","1980","PC","Percentage","0","Units",,,5.822,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1981","1981","PC","Percentage","0","Units",,,5.831,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1982","1982","PC","Percentage","0","Units",,,6.098,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1983","1983","PC","Percentage","0","Units",,,6.044,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1984","1984","PC","Percentage","0","Units",,,6.01,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1985","1985","PC","Percentage","0","Units",,,6.06,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1986","1986","PC","Percentage","0","Units",,,6.26,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1987","1987","PC","Percentage","0","Units",,,6.099,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1988","1988","PC","Percentage","0","Units",,,6.055,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1989","1989","PC","Percentage","0","Units",,,6.107,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1990","1990","PC","Percentage","0","Units",,,6.467,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1991","1991","PC","Percentage","0","Units",,,6.762,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1992","1992","PC","Percentage","0","Units",,,6.828,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1993","1993","PC","Percentage","0","Units",,,6.844,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1994","1994","PC","Percentage","0","Units",,,6.872,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1995","1995","PC","Percentage","0","Units",,,6.917,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1996","1996","PC","Percentage","0","Units",,,7.057,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1997","1997","PC","Percentage","0","Units",,,7.075,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1998","1998","PC","Percentage","0","Units",,,7.229,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","1999","1999","PC","Percentage","0","Units",,,7.32,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2000","2000","PC","Percentage","0","Units",,,7.594,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2001","2001","PC","Percentage","0","Units",,,7.678,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2002","2002","PC","Percentage","0","Units",,,7.876,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2003","2003","PC","Percentage","0","Units",,,7.881,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2004","2004","PC","Percentage","0","Units",,,8.087,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2005","2005","PC","Percentage","0","Units",,,7.97,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2006","2006","PC","Percentage","0","Units",,,7.977,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2007","2007","PC","Percentage","0","Units",,,8.055,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2008","2008","PC","Percentage","0","Units",,,8.249,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2009","2009","PC","Percentage","0","Units",,,8.545,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2010","2010","PC","Percentage","0","Units",,,8.42,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2011","2011","PC","Percentage","0","Units",,,8.537,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2012","2012","PC","Percentage","0","Units",,,8.675,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2013","2013","PC","Percentage","0","Units",,,8.751,"D","Difference in methodology"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2014","2014","PC","Percentage","0","Units",,,9.834,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2015","2015","PC","Percentage","0","Units",,,10.182,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2016","2016","PC","Percentage","0","Units",,,10.093,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2017","2017","PC","Percentage","0","Units",,,10.123,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2018","2018","PC","Percentage","0","Units",,,10.06,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2019","2019","PC","Percentage","0","Units",,,10.22,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2020","2020","PC","Percentage","0","Units",,,10.684,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2021","2021","PC","Percentage","0","Units",,,10.59,"E","Estimated value"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUS","Australia","2022","2022","PC","Percentage","0","Units",,,9.646,"E","Estimated value"
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1970","1970","PC","Percentage","0","Units",,,4.838,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1971","1971","PC","Percentage","0","Units",,,4.77,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1972","1972","PC","Percentage","0","Units",,,4.765,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1973","1973","PC","Percentage","0","Units",,,4.857,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1974","1974","PC","Percentage","0","Units",,,5.086,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1975","1975","PC","Percentage","0","Units",,,6.507,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1976","1976","PC","Percentage","0","Units",,,6.74,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1977","1977","PC","Percentage","0","Units",,,6.681,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1978","1978","PC","Percentage","0","Units",,,6.949,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1979","1979","PC","Percentage","0","Units",,,6.924,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1980","1980","PC","Percentage","0","Units",,,7.022,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1981","1981","PC","Percentage","0","Units",,,6.024,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1982","1982","PC","Percentage","0","Units",,,5.999,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1983","1983","PC","Percentage","0","Units",,,5.832,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1984","1984","PC","Percentage","0","Units",,,5.879,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1985","1985","PC","Percentage","0","Units",,,6.008,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1986","1986","PC","Percentage","0","Units",,,6.115,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1987","1987","PC","Percentage","0","Units",,,6.405,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1988","1988","PC","Percentage","0","Units",,,6.397,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1989","1989","PC","Percentage","0","Units",,,6.54,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HPTOT","All providers","PARPIB","Share of gross domestic product","AUT","Austria","1990","1990","PC","Percentage","0","Units",,,7.718,"B","Break"
