country,region,health_exp_pct_gdp,continent,iso3,year,education_exp,public_health_exp,wages_exp,pensions_exp,sickness_disability_exp,gdp_per_capita,unemployment_exp,family_children_exp,gdp,gdpv,cpi,total_population,alcohol_consume,fruit_supply,obese_pop_measured,overweight_pop_measured,sugar_supply,tobacco_consumption,total_calories_supply,total_fat_supply,total_protein_supply,vape_pop_15_over,veggie_supply,life_expectancy
Australia,Oceania,,Oceania,AUS,1960.0,,,,,,2436.5,,,17317000000.0,285468000000.0,0.065901957,10275000.0,9.3,77.7,8.4,28.1,56.2,3576.0,3091.0,111.3,104.9,0.9,61.5,71.0
Australia,Oceania,,Oceania,AUS,1961.0,,,,,,2410.2,,,17477000000.0,285560000000.0,0.067409518,10508200.0,9.4,77.7,8.4,28.1,56.2,3504.0,3091.0,111.3,104.9,0.9,61.5,71.0
Australia,Oceania,,Oceania,AUS,1962.0,,,,,,2608.6,,,18555000000.0,301169000000.0,0.067194152,10700500.0,9.5,77.2,8.4,28.1,54.4,3476.0,3113.0,111.8,107.9,0.9,61.4,71.0
Australia,Oceania,,Oceania,AUS,1963.0,,,,,,2785.9,,,20254000000.0,319677000000.0,0.067624884,10906900.0,9.8,83.3,8.4,28.1,54.8,3456.0,3169.0,112.1,109.1,0.9,60.1,70.96
Australia,Oceania,,Oceania,AUS,1964.0,,,,,,2939.7,,,22242000000.0,339494000000.0,0.069563177,11121600.0,10.1,79.8,8.4,28.1,56.2,3398.0,3146.0,110.6,110.3,0.9,61.4,70.92
Australia,Oceania,,Oceania,AUS,1965.0,,,,,,3041.2,,,23912000000.0,356524000000.0,0.071932201,11340900.0,10.0,83.1,8.4,28.1,56.4,3367.0,3095.0,110.3,107.8,0.9,63.3,70.88
Australia,Oceania,,Oceania,AUS,1966.0,,,,,,3300.6,,,25585000000.0,366971000000.0,0.074301226,11599498.0,10.3,77.0,8.4,28.1,55.1,3209.0,3166.0,110.3,111.1,0.9,67.5,70.84
Australia,Oceania,,Oceania,AUS,1967.0,,,,,,3475.2,,,28321000000.0,393364000000.0,0.076885616,11799078.0,10.8,82.7,8.4,28.1,53.8,3322.0,3106.0,109.4,105.6,0.9,65.7,70.8
Australia,Oceania,,Oceania,AUS,1968.0,,,,,,3871.2,,,30898000000.0,414358000000.0,0.078823909,12008635.0,11.1,82.2,8.4,28.1,54.1,3373.0,3127.0,110.2,106.7,0.9,64.3,71.02222222222223
Australia,Oceania,,Oceania,AUS,1969.0,,,,,,4251.1,,,34721000000.0,440110000000.0,0.0814083,12263014.0,11.6,85.6,8.4,28.1,54.6,3361.0,3131.0,112.3,106.2,0.9,68.5,71.24444444444444
